Index,Actual Value (USD),Predicted Value (USD)
Sweden-2021,3552430.410000002,1911066.3810773666
Sweden-2022,3543158.6500000004,516.7945352019198
Switzerland-2021,3560573.280000002,196408.14279001515
Syrian Arab Republic-2020,450212.9900000001,367409199.76877606
Syrian Arab Republic-2021,501976.9299999996,183090.67783697945
Syrian Arab Republic-2022,319198.04000000004,46564.081857084464
Timor-Leste-2020,2609.9600000000014,1578.5027707362376
Timor-Leste-2021,2522.3700000000003,26463.135209991327
Timor-Leste-2022,717.7200000000001,869.2688983164759
Togo-2020,129953.82999999993,248909.75884843362
Togo-2021,128551.92999999995,144917.7506012399
Togo-2022,124298.02999999991,29767.607098944336
Trinidad and Tobago-2022,341708.65999999986,2908.7511965438234
Turkmenistan-2020,51749.47999999996,59930.18344913694
Turkmenistan-2021,89170.76,13898.437569983036
Turkmenistan-2022,65374.80000000006,6255.406449693153
United Arab Emirates-2020,8983344.389999995,43499.129954044896
United Arab Emirates-2021,10176318.64,25657.24366707394
United Arab Emirates-2022,12211498.959999986,259.58988287255215
Uruguay-2021,1206743.0700000008,4076.686396354151
Uruguay-2022,1578209.3199999996,1482.0461299447777
Uzbekistan-2020,1304940.7100000007,30707483.260132533
Uzbekistan-2021,1292780.3699999994,23590003.934345357
Viet Nam-2020,11751907.05999999,17991877.868483584
Viet Nam-2021,12946352.56,5555.243628311015
Viet Nam-2022,10635823.930000003,406.85241709286254
Yemen-2020,165955.52999999997,542627.7443425003
Yemen-2021,235386.10999999984,269983.4428685472
Yemen-2022,124708.84999999995,9579.341393027187
Zambia-2020,464617.3900000002,13303.35327113888
Zambia-2021,609252.4099999996,346538.01226617186
Zambia-2022,785020.3900000005,10246.784995894945
Bahamas-2020,260.53999999999996,11.893700522067276
Bahamas-2021,136.80000000000007,13.904322517151963
Bahamas-2022,1086.7700000000004,11.46306158254074
Bermuda-2020,1.0,382.4350948997282
Bermuda-2021,1.0,1280.1825661298956
Bermuda-2022,1.0,175.3455392765876
Solomon Islands-2020,41986.95000000002,405.9822783550787
Solomon Islands-2021,56581.230000000054,21.487410654473887
Solomon Islands-2022,62762.74999999996,253.40279481509373
British Virgin Islands-2020,1.0,17.44902763377094
British Virgin Islands-2021,1.0,17.67458148174698
British Virgin Islands-2022,1.0,17.808160222036044
Brunei Darussalam-2022,2108.68,1447.3998147527475
Burundi-2020,17997.660000000014,1502.2255502642865
Burundi-2021,12754.739999999998,101.81019987592339
Burundi-2022,21552.12000000001,427.21492173311367
Cambodia-2020,772351.0499999995,10.266302794797586
Cambodia-2021,846875.24,2.2522041920105464
Cambodia-2022,920653.4500000008,12.773815033402911
Cayman Islands-2020,1.0,14.799398165154175
Cayman Islands-2021,1.0,16.563759085675844
Cayman Islands-2022,1.0,16.296359107761802
Comoros-2020,26.290000000000003,1240.3677947224878
Comoros-2021,36.99000000000001,751.9201383620785
Comoros-2022,7.569999999999998,1047.0555427717086
Congo-2020,5779.830000000003,1.3286950177232708
Congo-2021,5809.410000000004,1.515668957835311
Congo-2022,5408.0499999999965,34.289384464186874
Democratic Republic of the Congo-2020,7561.809999999996,0.8643162477522468
Democratic Republic of the Congo-2021,4315.960000000001,0.594722119063405
Democratic Republic of the Congo-2022,14008.11,12.557310442976332
Cook Islands-2020,125.97000000000003,3014.1384018503027
Cook Islands-2021,165.93000000000006,2873.635206916118
Cook Islands-2022,70.94999999999997,2154.591419606882
Dominica-2020,3839.219999999999,1220.5421433974002
Dominica-2021,4106.189999999999,226397.0737450456
Dominica-2022,4816.530000000001,142063.02407609447
Ecuador-2020,4689089.299999998,1780761.112410683
Ecuador-2021,4629603.710000004,879451.4857084241
Ecuador-2022,4948447.69,350.2044651137098
Equatorial Guinea-2020,412.44,393.8947554597863
Equatorial Guinea-2021,773.9100000000003,385.8740778822996
Equatorial Guinea-2022,85028.54999999994,387.2502633555764
French Guiana-2020,1.0,43462.556447268216
French Guiana-2021,1.0,1592.4344397146556
French Guiana-2022,1.0,1577.7818595616436
French Polynesia-2022,10371.840000000007,607.0793201123993
Djibouti-2020,193503.95999999996,1977.5611786538939
Djibouti-2021,387961.5600000001,270.91644581721323
Djibouti-2022,476511.3400000001,492.1647107508357
Gabon-2020,37323.229999999974,39.06938748191138
Gabon-2021,75871.60000000005,28.64373347564066
Gabon-2022,59156.95999999995,374.85076133637017
Ghana-2020,820006.37,4189411.0319787525
Ghana-2021,947531.0199999998,3324384.6869353964
Ghana-2022,726320.69,16.676099493345482
Kiribati-2020,2961.7799999999997,36154.67710556199
Kiribati-2021,4397.489999999999,13465.407348755105
Kiribati-2022,2604.269999999999,5969.690595044971
Greenland-2020,1.0,1691.038031790273
Greenland-2021,1.0,1676.6290180233837
Greenland-2022,1.0,1662.3427807250487
Grenada-2022,10983.359999999995,159.53901702932356
Guadeloupe-2020,1.0,66607.66980979408
Guadeloupe-2021,1.0,1690.85177525173
Guadeloupe-2022,1.0,1676.445147932566
Guam-2020,1.0,1712.6006743041012
Guam-2021,1.0,1698.0095487046378
Guam-2022,1.0,1683.5403291919513
Guatemala-2020,3532077.520000001,176.684728772816
Guatemala-2021,3891434.1799999997,7.117432552451543
Guatemala-2022,4828524.959999997,18.949231962647538
Honduras-2020,1378270.03,123.69868915867912
Honduras-2021,1036455.8099999992,4.108540342787529
Honduras-2022,1933235.2300000011,27.95418396656264
Israel-2022,1535192.0000000002,30.326007051988945
Côte d'Ivoire-2020,1566193.249999999,3303.8800230656843
Côte d'Ivoire-2021,1942675.2400000014,8.69607347610567
Côte d'Ivoire-2022,1984725.8500000015,28.15702632609324
"China, Macao SAR-2020",17670.52,108.02431682575252
"China, Macao SAR-2021",12455.849999999991,4.561250058751863
"China, Macao SAR-2022",30607.90000000001,38.77726235370288
Madagascar-2020,105707.13,18.278416712497286
Madagascar-2021,124121.05999999998,5.127335332189676
Madagascar-2022,115416.46999999991,71.55189105452553
Maldives-2020,721.43,568.3352359005092
Maldives-2021,26.490000000000002,563.3399617063732
Maldives-2022,16.390000000000004,562.1394304881081
Martinique-2020,1.0,47319.37643480213
Martinique-2021,1.0,2342.6788687678404
Martinique-2022,1.0,2311.518225689403
Mauritania-2020,408.86999999999995,112.65412894064687
Mauritania-2021,447.45000000000016,30.536127883341724
Mauritania-2022,2691.749999999999,355.2354467317488
Montserrat-2020,1.0,1735.50051527056
Montserrat-2021,1.0,1827.607783117718
Montserrat-2022,1.0,1822.217853451468
Curaçao-2020,1.0,362.83409599646166
Curaçao-2021,1.0,483.06166195031403
Curaçao-2022,1.0,308.9830375614441
Aruba-2020,1.0,598.6426032708368
Aruba-2021,1.0,436.4833077886391
Aruba-2022,1.0,154.3060619693341
New Caledonia-2022,612.5199999999998,136.3861431516744
Vanuatu-2020,3837.639999999997,3546.662578230021
Vanuatu-2021,3260.3200000000006,1775.3220762201197
Vanuatu-2022,1032.0399999999997,1827.1459616869308
Nigeria-2020,331189.86,19.902667868103563
Nigeria-2021,464778.34999999986,5.5790670036244405
Nigeria-2022,303697.79000000015,2944.678204744226
Micronesia (Federated States of)-2020,1.0,5796.444329189153
Micronesia (Federated States of)-2021,1.0,3138.50019671172
Micronesia (Federated States of)-2022,1.0,3101.559888630244
Palau-2020,1.0,1021.524988044988
Palau-2021,1.0,1086.572680273487
Palau-2022,1.0,953.300825357749
Papua New Guinea-2020,503263.57999999967,2619.4606698569382
Papua New Guinea-2021,901872.4900000005,11966.619755670497
Papua New Guinea-2022,1187837.1500000006,777.0763118234046
Puerto Rico-2020,1.0,3968.7112891528886
Puerto Rico-2021,1.0,3622.803706201255
Puerto Rico-2022,1.0,3580.15970669719
Réunion-2020,1.0,211681.76498948174
Réunion-2021,1.0,3712.3820668943363
Réunion-2022,1.0,3668.687139804351
Saint Kitts and Nevis-2020,5830.4299999999985,2464.925771678393
Saint Kitts and Nevis-2021,533.9300000000001,1465.9075201849384
Saint Kitts and Nevis-2022,671.6499999999999,619.3354456445705
Anguilla-2020,1.0,1116.446540674779
Anguilla-2021,1.0,837.7478683830258
Anguilla-2022,1.0,743.8605612164267
San Marino-2020,1.0,4193.061957344177
San Marino-2021,1.0,4143.709403321305
San Marino-2022,1.0,4094.9611628760003
Sao Tome and Principe-2020,4077.4599999999973,5058.7436634817095
Sao Tome and Principe-2021,6365.589999999999,1710.485272643897
Sao Tome and Principe-2022,8639.779999999997,1222.0994035797091
Seychelles-2020,3187.4700000000016,330.5797751107806
Seychelles-2021,1685.4799999999998,318.5325934261776
Seychelles-2022,3613.5300000000016,491.9894341999454
Sierra Leone-2020,5644.700000000003,3695.159135120346
Sierra Leone-2021,24970.60999999999,1223.27011071242
Sierra Leone-2022,27790.899999999994,1093.9648350038094
Somalia-2020,10259.000000000011,1123.7177086657866
Somalia-2021,11704.39999999999,836.8746843718136
Somalia-2022,3533.9199999999996,1022.9614839788964
Zimbabwe-2020,936793.95,583.904885318896
Zimbabwe-2021,922098.6599999996,98.11513012239953
Zimbabwe-2022,1093485.9700000002,582.1098434821365
Eswatini-2020,494427.57,17998.131462966623
Eswatini-2021,557063.9500000002,304.707047435291
Eswatini-2022,409673.9799999999,2106.824118395895
Tajikistan-2020,27988.449999999997,1595980.8189154812
Tajikistan-2021,43913.52999999997,1132477.7825238532
Tajikistan-2022,62452.879999999954,801.1647669717901
Tonga-2020,4766.9299999999985,13763.554979728955
Tonga-2021,5421.869999999996,9334.511924497372
Tonga-2022,3499.4799999999977,6908.280448422995
Tunisia-2022,1667361.9500000016,687.0789774086423
Uganda-2020,491663.48999999976,31316.19215359383
Uganda-2021,605929.5600000003,10261.933158089863
Uganda-2022,410382.57,1932.007114589888
United Republic of Tanzania-2020,1034817.9300000003,16797.955966339472
United Republic of Tanzania-2021,1164118.009999999,5332.535296208762
United Republic of Tanzania-2022,1137950.8099999998,1487.3898720168052
Venezuela (Bolivarian Republic of)-2022,42775.22000000003,866.949142735493
Samoa-2020,7447.180000000002,142986.61259189597
Samoa-2021,11298.259999999993,11402.153302688523
Samoa-2022,9849.570000000009,5632.005824442581
American Samoa-2020,1.0,1417.490445637358
American Samoa-2021,1.0,1404.882957871735
American Samoa-2022,1.0,1392.3862761336502
Channel Islands-2020,1.0,7650.307087067489
Channel Islands-2021,1.0,7554.554394398038
Channel Islands-2022,1.0,7470.743534604714
Democratic People's Republic of Korea-2020,46620.40000000004,4393.712920521905
Democratic People's Republic of Korea-2021,48074.17999999997,949.4511446513143
Democratic People's Republic of Korea-2022,35312.130000000034,997.0252507227627
Eritrea-2020,127.31000000000003,1721.239486591903
Eritrea-2021,83.83999999999997,1560.640928821561
Eritrea-2022,24.9,1545.929966073635
Falkland Islands (Malvinas)-2020,1.0,1583.8982116657442
Falkland Islands (Malvinas)-2021,1.0,1569.3196866483188
Falkland Islands (Malvinas)-2022,1.0,1554.875345374595
Faroe Islands-2020,223.04000000000005,47.94228915150202
Faroe Islands-2021,76.51,1563.5936146648196
Faroe Islands-2022,55.94000000000001,1549.015831818633
Gibraltar-2020,1.0,1669.7468755365842
Gibraltar-2021,1.0,1655.5192796667527
Gibraltar-2022,1.0,1641.4129144380447
Holy See-2020,1.0,1749.1530830343024
Holy See-2021,1.0,1734.2480550036748
Holy See-2022,1.0,1719.4708568390104
Isle of Man-2020,1.0,7749.179864294519
Isle of Man-2021,1.0,7650.423822380211
Isle of Man-2022,1.0,7562.058090985028
Liechtenstein-2020,1.0,2177.359674484603
Liechtenstein-2021,1.0,2147.3246486826993
Liechtenstein-2022,1.0,2117.70494308888
Marshall Islands-2020,1.0,5596.080815544235
Marshall Islands-2021,1.0,3978.059526457109
Marshall Islands-2022,1.0,2274.8536540693653
Mayotte-2020,1.0,44271.66300282518
Mayotte-2021,1.0,1511.235074524039
Mayotte-2022,1.0,1498.949113142865
Monaco-2020,1.0,2479.214842202179
Monaco-2021,1.0,2446.239261465447
Nauru-2020,0.13,2728.693435076695
Nauru-2021,135.24000000000004,2616.5070693651796
Nauru-2022,28.970000000000002,2581.704158907555
Netherlands Antilles (former)-2020,1.0,2721.113118787931
Netherlands Antilles (former)-2021,1.0,2683.999737443033
Netherlands Antilles (former)-2022,1.0,2647.3938095118465
Niue-2020,102.29000000000002,9163.923621025948
Niue-2021,238.14999999999992,3016.366967757157
Niue-2022,95.9,2980.8627526501523
Norfolk Island-2020,1.0,3089.801007633972
Norfolk Island-2021,1.0,3053.4309795224126
Norfolk Island-2022,1.0,3017.489062781639
Northern Mariana Islands-2020,1.0,3146.928109330389
Northern Mariana Islands-2021,1.0,3109.8856384662063
Pitcairn-2020,1.0,3469.9171144435854
Pitcairn-2021,1.0,3429.07274204378
Pitcairn-2022,1.0,3388.7059167697294
"Saint Helena, Ascension and Tristan da Cunha-2020",1.0,3944.6785890037117
"Saint Helena, Ascension and Tristan da Cunha-2021",1.0,3898.2420846355667
"Saint Helena, Ascension and Tristan da Cunha-2022",1.0,3852.3595756162945
Saint Pierre and Miquelon-2020,1.0,4091.884974572672
Saint Pierre and Miquelon-2021,1.0,4043.719422426504
Saint Pierre and Miquelon-2022,1.0,3996.124637689518
Tokelau-2020,1.0,20590.2184839342
Tokelau-2021,1.0,5973.107456882187
Tokelau-2022,1.0,5906.841301995482
Turks and Caicos Islands-2020,1.0,2326.301952802218
Turks and Caicos Islands-2021,1.0,2341.40016546904
Turks and Caicos Islands-2022,1.0,2182.710089669466
Tuvalu-2020,5.96,21633.48208259232
Tuvalu-2021,8.27,11165.429382734743
Tuvalu-2022,5.05,6562.703181634974
United States Virgin Islands-2020,1.0,8334.145131322231
United States Virgin Islands-2021,1.0,8227.92640800918
United States Virgin Islands-2022,1.0,8123.0614428806175
Wallis and Futuna Islands-2020,1.0,9354.349012520723
Wallis and Futuna Islands-2021,1.0,9228.64788392947
Wallis and Futuna Islands-2022,1.0,9105.330547077048
Western Sahara-2020,1.0,5161.4021019696875
Western Sahara-2021,1.0,5105.918089815258
Western Sahara-2022,1.0,5051.030519391958
"China, Taiwan Province of-2022",1565631.7100000004,16.298573910478986
Guyana-2022,241236.64999999985,128.60279604753882
Saint Martin (French part)-2020,1.0,4054.574281764014
Saint Martin (French part)-2021,1.0,4006.8517347765974
Saint Martin (French part)-2022,1.0,3959.68710835806
Sint Maarten (Dutch part)-2020,1.0,425.4408214455248
Sint Maarten (Dutch part)-2021,1.0,342.70309889760387
Sint Maarten (Dutch part)-2022,1.0,637.1186549475531
